                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,0.88352,0.89453,0.99218,0.50406,0.77615,0.54318,0.37993,0.96815,1.0565,1.0413,0.00079575,0.00079575,0.00079575
46,0.88646,0.91117,1.0028,0.40444,0.91435,0.47111,0.33219,1.062,1.4243,1.1031,0.000791,0.000791,0.000791
47,0.87807,0.88425,0.98628,0.4473,0.81749,0.59302,0.42322,0.99862,1.2606,1.0667,0.00078625,0.00078625,0.00078625
48,0.86942,0.85999,0.98054,0.4925,0.81426,0.52538,0.38697,0.97395,1.3211,1.0286,0.0007815,0.0007815,0.0007815
49,0.87899,0.85697,0.98801,0.40614,0.78384,0.46798,0.33011,0.97875,1.3365,1.0485,0.00077675,0.00077675,0.00077675
50,0.90541,0.89781,1.0004,0.57152,0.76137,0.66743,0.47549,0.96589,1.027,1.0315,0.000772,0.000772,0.000772
51,0.8794,0.88052,0.98541,0.49082,0.8411,0.63289,0.45114,0.97467,0.97434,1.0438,0.00076725,0.00076725,0.00076725
52,0.89577,0.84197,0.9929,0.42844,0.72726,0.47831,0.33541,1.0282,1.7348,1.0708,0.0007625,0.0007625,0.0007625
53,0.88706,0.83288,0.9968,0.45656,0.71519,0.62642,0.43268,1.0008,1.0308,1.062,0.00075775,0.00075775,0.00075775
54,0.8629,0.82395,0.97228,0.4832,0.90496,0.57113,0.40658,0.9911,1.1712,1.0335,0.000753,0.000753,0.000753
55,0.87735,0.80697,0.98304,0.45337,0.8361,0.52377,0.37101,1.0104,1.6265,1.067,0.00074825,0.00074825,0.00074825
56,0.87177,0.8319,0.98959,0.47464,0.74425,0.5411,0.38049,1.0468,1.1747,1.069,0.0007435,0.0007435,0.0007435
57,0.84393,0.82655,0.97742,0.47833,0.69068,0.56323,0.4073,0.94418,1.0842,1.0485,0.00073875,0.00073875,0.00073875
58,0.85918,0.82125,0.98304,0.55051,0.79167,0.60145,0.42387,1.0006,1.0418,1.0835,0.000734,0.000734,0.000734
59,0.86993,0.81407,0.97326,0.46471,0.74243,0.53642,0.38325,0.91876,1.1203,1.0107,0.00072925,0.00072925,0.00072925
60,0.849,0.78847,0.97488,0.46549,0.78547,0.5122,0.37866,0.93113,1.3622,1.0496,0.0007245,0.0007245,0.0007245
61,0.84732,0.76529,0.97483,0.4812,0.87016,0.6056,0.4186,0.99146,1.0417,1.0837,0.00071975,0.00071975,0.00071975
62,0.85259,0.77913,0.97745,0.43582,0.79782,0.49037,0.36016,0.97917,1.269,1.044,0.000715,0.000715,0.000715
63,0.85103,0.78614,0.97713,0.45157,0.78939,0.52378,0.36737,1.0821,1.145,1.1081,0.00071025,0.00071025,0.00071025
64,0.87217,0.73134,0.97612,0.52538,0.82492,0.6415,0.46414,1.0197,0.93706,1.0586,0.0007055,0.0007055,0.0007055
65,0.86372,0.73483,0.97581,0.50194,0.79782,0.5803,0.40963,1.0133,1.055,1.0628,0.00070075,0.00070075,0.00070075
66,0.81842,0.73018,0.96291,0.45379,0.83298,0.52132,0.3764,0.97897,1.2467,1.0475,0.000696,0.000696,0.000696
67,0.82774,0.73664,0.96103,0.48922,0.75147,0.57987,0.40869,0.99844,1.1924,1.0689,0.00069125,0.00069125,0.00069125
68,0.80621,0.69373,0.94863,0.47305,0.77002,0.58635,0.4057,1.0305,1.0963,1.1081,0.0006865,0.0006865,0.0006865
69,0.81269,0.70254,0.95416,0.52366,0.77442,0.62381,0.43704,0.96269,1.0132,1.0591,0.00068175,0.00068175,0.00068175
70,0.82576,0.7129,0.95865,0.75089,0.63007,0.73874,0.54898,0.94026,0.94015,1.0431,0.000677,0.000677,0.000677
71,0.80114,0.66703,0.95183,0.55246,0.73275,0.63087,0.47536,0.97795,1.2793,1.0733,0.00067225,0.00067225,0.00067225
72,0.81757,0.67946,0.95779,0.5269,0.70944,0.60965,0.45509,0.95757,0.99619,1.0425,0.0006675,0.0006675,0.0006675
73,0.80288,0.6616,0.94803,0.46093,0.7609,0.51422,0.36962,1.0207,1.7785,1.0537,0.00066275,0.00066275,0.00066275
74,0.82628,0.70935,0.96659,0.5497,0.82317,0.67916,0.45127,0.96395,0.98272,1.075,0.000658,0.000658,0.000658
